file,ia_id,id,duplicate,meaning_translation,mushaf,book,tafseer,ar_recitation,en_recitation,complete_or_juzu,meaning_translation_only,translation_language,en_translation_language,language_title,ar_translation_language,ar_title,translation_language_code,en_translator,ar_translator,en_title,description,keywords,translation_language_title,slug,image_url,epub_url,download_url,source,uploaded_by
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_15/550/pdf/book_fatawa_15.pdf,book_fatawa_15,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_05/550/pdf/book_fatawa_05.pdf,book_fatawa_05,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_37/550/pdf/book_fatawa_37.pdf,book_fatawa_37,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_36/550/pdf/book_fatawa_36.pdf,book_fatawa_36,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_35/550/pdf/book_fatawa_35.pdf,book_fatawa_35,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_34/550/pdf/book_fatawa_34.pdf,book_fatawa_34,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_33/550/pdf/book_fatawa_33.pdf,book_fatawa_33,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_32/550/pdf/book_fatawa_32.pdf,book_fatawa_32,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_31/550/pdf/book_fatawa_31.pdf,book_fatawa_31,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_30/550/pdf/book_fatawa_30.pdf,book_fatawa_30,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_29/550/pdf/book_fatawa_29.pdf,book_fatawa_29,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_28/550/pdf/book_fatawa_28.pdf,book_fatawa_28,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_27/550/pdf/book_fatawa_27.pdf,book_fatawa_27,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_26/550/pdf/book_fatawa_26.pdf,book_fatawa_26,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
E:/qr/qr-images/images.qurancomplex.gov.sa/publications/bk_fatawa_25/550/pdf/book_fatawa_25.pdf,book_fatawa_25,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://www.qurancomplex.gov.sa/,https://www.quran.co.com
